CLASS	0	igObject	-
FIELD	igBoolMetaField	7	_default	16	igMetaField
FIELD	igBoolMetaField	8	_offset	24	igMetaField
FIELD	igBoolMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igBoolMetaField	10	_typeIndex	28	igMetaField
FIELD	igBoolMetaField	11	_internalIndex	30	igMetaField
FIELD	igBoolMetaField	12	_size	32	igMetaField
CLASS	8	igIntMetaField	igMetaField
FIELD	igIntMetaField	0	_refAndProperties	4	igObject
FIELD	igIntMetaField	1	_refCount	4	igObject
FIELD	igIntMetaField	2	_externalMemory	4	igObject
FIELD	igIntMetaField	3	_readOnly	4	igObject
FIELD	igIntMetaField	4	_memPoolIndex	4	igObject
FIELD	igIntMetaField	5	_properties	8	igMetaField
FIELD	igIntMetaField	6	_fieldName	12	igMetaField
FIELD	igIntMetaField	7	_default	16	igMetaField
FIELD	igIntMetaField	8	_offset	24	igMetaField
FIELD	igIntMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igIntMetaField	10	_typeIndex	28	igMetaField
FIELD	igIntMetaField	11	_internalIndex	30	igMetaField
FIELD	igIntMetaField	12	_size	32	igMetaField
CLASS	9	igRawRefMetaField	igRefMetaField
FIELD	igRawRefMetaField	0	_refAndProperties	4	igObject
FIELD	igRawRefMetaField	1	_refCount	4	igObject
FIELD	igRawRefMetaField	2	_externalMemory	4	igObject
FIELD	igRawRefMetaField	3	_readOnly	4	igObject
FIELD	igRawRefMetaField	4	_memPoolIndex	4	igObject
FIELD	igRawRefMetaField	5	_properties	8	igMetaField
FIELD	igRawRefMetaField	6	_fieldName	12	igMetaField
FIELD	igRawRefMetaField	7	_default	16	igMetaField
FIELD	igRawRefMetaField	8	_offset	24	igMetaField
FIELD	igRawRefMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igRawRefMetaField	10	_typeIndex	28	igMetaField
FIELD	igRawRefMetaField	11	_internalIndex	30	igMetaField
FIELD	igRawRefMetaField	12	_size	32	igMetaField
FIELD	igRawRefMetaField	13	_construct	36	igRefMetaField
FIELD	igRawRefMetaField	14	_destruct	37	igRefMetaField
FIELD	igRawRefMetaField	15	_refCounted	38	igRefMetaField
CLASS	10	igSizeTypeMetaField	igMetaField
FIELD	igSizeTypeMetaField	0	_refAndProperties	4	igObject
FIELD	igSizeTypeMetaField	1	_refCount	4	igObject
FIELD	igSizeTypeMetaField	2	_externalMemory	4	igObject
FIELD	igSizeTypeMetaField	3	_readOnly	4	igObject
FIELD	igSizeTypeMetaField	4	_memPoolIndex	4	igObject
FIELD	igSizeTypeMetaField	5	_properties	8	igMetaField
FIELD	igSizeTypeMetaField	6	_fieldName	12	igMetaField
FIELD	igSizeTypeMetaField	7	_default	16	igMetaField
FIELD	igSizeTypeMetaField	8	_offset	24	igMetaField
FIELD	igSizeTypeMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igSizeTypeMetaField	10	_typeIndex	28	igMetaField
FIELD	igSizeTypeMetaField	11	_internalIndex	30	igMetaField
FIELD	igSizeTypeMetaField	12	_size	32	igMetaField
CLASS	11	igUnsignedIntMetaField	igMetaField
FIELD	igUnsignedIntMetaField	0	_refAndProperties	4	igObject
FIELD	igUnsignedIntMetaField	1	_refCount	4	igObject
FIELD	igUnsignedIntMetaField	2	_externalMemory	4	igObject
FIELD	igUnsignedIntMetaField	3	_readOnly	4	igObject
FIELD	igUnsignedIntMetaField	4	_memPoolIndex	4	igObject
FIELD	igUnsignedIntMetaField	5	_properties	8	igMetaField
FIELD	igUnsignedIntMetaField	6	_fieldName	12	igMetaField
FIELD	igUnsignedIntMetaField	7	_default	16	igMetaField
FIELD	igUnsignedIntMetaField	8	_offset	24	igMetaField
FIELD	igUnsignedIntMetaField	9	_parentMetaObjectIndex	26	igMetaField
FIELD	igUnsignedIntMetaField	10	_typeIndex	28	igMetaField
FIELD	igUnsignedIntMetaField	11	_internalIndex	30	igMetaField
FIELD	igUnsignedIntMetaField	12	_size	32	igMetaField
CLASS	12	igMemoryPool	igObject
FIELD	igMemoryPool	0	_refAndProperties	4	igObject
FIELD	igMemoryPool	1	_refCount	4	igObject
